edad,ciudad,peso,ingresos,genero,nivel_educacional,fumador,actividad_fisica,estado_civil,horas_suenho,enfermedades_cronicas,consumo_alcohol,uso_transporte
47.6,Temuco,58.4,1206000.0,Femenino,Básica,Sí,Media,Casado/a,,No,Ocasional,Privado
,Antofagasta,67.5,896000.0,Masculino,Básica,No,Media,Viudo/a,7.6,,Nunca,
22.0,Temuco,77.3,925000.0,Masculino,,No,Media,Casado/a,5.4,No,Frecuente,Público
35.0,Temuco,71.9,377000.0,Femenino,Técnica,Sí,Alta,Soltero/a,5.9,Sí,Nunca,Público
32.9,La Serena,63.0,757000.0,Masculino,Técnica,Sí,Alta,Soltero/a,6.0,No,,Público
30.2,Temuco,,597000.0,Femenino,Básica,Sí,Alta,Viudo/a,6.1,No,Ocasional,Bicicleta/Pie
66.5,Valdivia,78.6,1007000.0,Femenino,Universitaria,No,Media,Viudo/a,4.3,No,Nunca,Privado
46.1,Antofagasta,,1068000.0,Masculino,Técnica,No,Baja,Separado/a,5.8,Sí,Nunca,Público
21.1,Antofagasta,83.9,281000.0,Masculino,Básica,Sí,Media,Soltero/a,8.5,Sí,Ocasional,Privado
53.8,Santiago,66.0,794000.0,Femenino,Técnica,Sí,Alta,Soltero/a,8.6,Sí,Nunca,
71.8,Temuco,75.1,,Femenino,Media,Sí,Media,Soltero/a,6.0,No,Frecuente,Bicicleta/Pie
55.5,La Serena,84.4,753000.0,Masculino,Técnica,No,Baja,Soltero/a,4.2,Sí,Ocasional,Bicicleta/Pie
17.2,Temuco,53.5,982000.0,Femenino,Técnica,Sí,Alta,Soltero/a,7.9,No,Nunca,Público
32.7,Concepción,61.5,888000.0,Masculino,Universitaria,Sí,Baja,Soltero/a,5.4,No,Nunca,Público
59.0,Concepción,66.5,885000.0,Masculino,Técnica,Sí,Baja,Soltero/a,5.5,No,Nunca,Público
29.4,La Serena,60.6,732000.0,Masculino,Universitaria,Sí,Alta,Soltero/a,6.6,No,Frecuente,Público
46.7,Santiago,90.8,496000.0,Masculino,Media,Sí,Baja,Separado/a,6.4,No,Ocasional,Público
51.6,Santiago,,,Masculino,Básica,No,Media,Casado/a,5.8,No,Frecuente,Privado
26.1,Antofagasta,63.3,977000.0,Femenino,Universitaria,No,Baja,Soltero/a,6.0,No,Nunca,Privado
39.1,Antofagasta,72.5,805000.0,Masculino,Técnica,No,Baja,Separado/a,6.2,Sí,Frecuente,
-8.6,Valparaíso,55.6,,Masculino,Técnica,Sí,Baja,Soltero/a,5.9,,Nunca,Bicicleta/Pie
24.6,La Serena,65.3,,Masculino,Universitaria,No,,Viudo/a,6.0,No,Nunca,Privado
36.2,Temuco,73.8,,Masculino,Media,Sí,Baja,Soltero/a,6.5,No,Ocasional,Bicicleta/Pie
21.3,Puerto Montt,66.0,1062000.0,Masculino,Básica,No,Baja,Casado/a,7.5,No,Ocasional,Bicicleta/Pie
64.5,La Serena,68.9,716000.0,Masculino,Técnica,No,Media,Separado/a,7.4,No,Nunca,Público
18.5,Valparaíso,63.6,465000.0,Masculino,Media,Sí,Alta,Viudo/a,6.2,No,Nunca,Bicicleta/Pie
33.4,Antofagasta,51.8,986000.0,Femenino,Básica,Sí,Alta,Viudo/a,6.5,,Nunca,Bicicleta/Pie
42.0,La Serena,73.9,749000.0,Femenino,Básica,Sí,Alta,Soltero/a,9.0,No,Ocasional,Bicicleta/Pie
61.6,La Serena,91.1,808000.0,,,No,Baja,Casado/a,8.5,Sí,Ocasional,Privado
18.5,Antofagasta,70.2,1202000.0,Femenino,Universitaria,Sí,Alta,Casado/a,,Sí,Nunca,Privado
57.4,Valdivia,72.7,795000.0,,Técnica,No,Media,Soltero/a,,No,Ocasional,Público
40.2,Valparaíso,78.3,872000.0,Femenino,,No,Baja,Soltero/a,7.2,No,Nunca,Bicicleta/Pie
25.3,Antofagasta,54.8,505000.0,Masculino,Técnica,No,Baja,Separado/a,6.0,Sí,Frecuente,Privado
46.9,Santiago,90.4,745000.0,Femenino,Media,Sí,Baja,Separado/a,5.6,No,Ocasional,Público
43.0,Temuco,72.4,952000.0,Femenino,Universitaria,Sí,Alta,,6.5,No,,Bicicleta/Pie
31.0,Antofagasta,89.6,,Masculino,Media,Sí,Alta,Soltero/a,8.6,No,Frecuente,Público
41.0,Valparaíso,,850000.0,Masculino,Técnica,No,Alta,Viudo/a,8.3,No,Nunca,Público
34.2,Concepción,91.8,825000.0,Femenino,Universitaria,No,Baja,Casado/a,6.1,No,Frecuente,Bicicleta/Pie
41.7,Santiago,79.3,810000.0,Femenino,Básica,Sí,Media,Separado/a,7.1,No,Ocasional,Privado
49.9,Concepción,76.6,1059000.0,Femenino,Universitaria,No,Baja,Soltero/a,6.4,No,,Bicicleta/Pie
63.8,Puerto Montt,72.8,,Femenino,Técnica,No,,Soltero/a,6.6,No,,Bicicleta/Pie
21.4,Antofagasta,67.0,1170000.0,Masculino,Universitaria,No,Baja,Separado/a,8.5,No,Ocasional,Bicicleta/Pie
,Santiago,84.4,552000.0,Femenino,Básica,,Media,Viudo/a,6.9,No,Ocasional,Privado
10.7,Temuco,71.7,834000.0,Femenino,Básica,No,Baja,Viudo/a,4.4,No,Frecuente,Bicicleta/Pie
37.7,Antofagasta,46.4,821000.0,Femenino,Universitaria,No,Baja,Soltero/a,7.2,No,Ocasional,
,Temuco,56.6,533000.0,Femenino,Básica,Sí,Media,Casado/a,9.7,No,Frecuente,Público
44.2,Valdivia,67.8,1039000.0,Femenino,Media,Sí,Media,Casado/a,6.0,,Frecuente,Privado
30.7,La Serena,73.7,1381000.0,Masculino,Universitaria,Sí,,Soltero/a,9.3,No,Frecuente,Público
36.9,Concepción,69.3,796000.0,Masculino,Básica,Sí,Media,Separado/a,7.9,,Ocasional,Público
32.6,Santiago,84.6,926000.0,,Básica,Sí,Media,Casado/a,8.8,No,Nunca,Bicicleta/Pie
31.2,Temuco,46.6,821000.0,Masculino,Universitaria,Sí,Media,Separado/a,8.3,No,Nunca,Privado
52.7,Valparaíso,71.7,622000.0,Masculino,Media,No,Media,Separado/a,7.3,No,Ocasional,Público
45.4,Temuco,48.2,345000.0,Femenino,Universitaria,No,,Separado/a,6.1,No,Frecuente,Público
29.6,Valparaíso,79.1,624000.0,Masculino,Básica,No,Baja,Viudo/a,,No,Ocasional,Privado
53.5,Antofagasta,68.9,452000.0,Masculino,Universitaria,No,Media,Casado/a,7.3,,Nunca,Privado
,Santiago,75.0,1226000.0,Femenino,Básica,Sí,Media,,8.5,Sí,Frecuente,Público
52.2,Temuco,59.6,771000.0,Masculino,,No,Baja,Casado/a,3.6,No,Ocasional,Público
49.4,Puerto Montt,85.4,714000.0,,Universitaria,Sí,Baja,Soltero/a,4.9,Sí,Frecuente,Privado
27.6,Temuco,82.5,1022000.0,,Universitaria,Sí,Alta,Separado/a,7.4,No,,Privado
31.6,Valdivia,77.0,520000.0,Masculino,Básica,No,Alta,Casado/a,,Sí,,Público
51.2,Puerto Montt,68.4,608000.0,Femenino,Básica,No,Media,Casado/a,,No,Frecuente,Bicicleta/Pie
,Santiago,77.0,817000.0,,Básica,Sí,Media,Soltero/a,7.5,No,Ocasional,Privado
39.7,Valdivia,61.5,1057000.0,Masculino,Básica,,Alta,Viudo/a,8.0,No,Frecuente,Público
41.8,Temuco,80.3,925000.0,Femenino,Universitaria,Sí,Alta,Casado/a,6.7,No,Frecuente,Público
59.2,Valparaíso,89.8,862000.0,Masculino,Básica,Sí,Media,Casado/a,9.1,No,Ocasional,Bicicleta/Pie
31.1,Temuco,82.8,820000.0,Femenino,Universitaria,No,Alta,Viudo/a,9.4,Sí,Nunca,Privado
48.2,Concepción,61.2,900000.0,Femenino,Media,Sí,Media,Viudo/a,,No,Nunca,Público
37.0,Antofagasta,74.3,850000.0,Femenino,Universitaria,No,Baja,Casado/a,8.3,Sí,Ocasional,Bicicleta/Pie
36.7,La Serena,54.5,543000.0,Femenino,,Sí,Baja,Viudo/a,4.5,Sí,Frecuente,Privado
56.5,Valparaíso,76.9,812000.0,Femenino,Básica,Sí,Alta,,8.6,Sí,Ocasional,
52.4,Concepción,75.4,532000.0,Femenino,Media,Sí,Baja,Soltero/a,,Sí,Ocasional,Público
52.2,Puerto Montt,47.6,820000.0,Femenino,Universitaria,No,Baja,,5.5,No,Ocasional,Bicicleta/Pie
59.6,Antofagasta,56.1,680000.0,Femenino,Media,Sí,Baja,Casado/a,7.9,No,Nunca,Público
40.3,Santiago,66.6,1435000.0,Femenino,,No,Baja,Soltero/a,4.2,No,Frecuente,
50.2,Valparaíso,66.4,790000.0,Femenino,Básica,No,Media,Soltero/a,5.8,No,Ocasional,Bicicleta/Pie
35.3,La Serena,55.5,449000.0,Femenino,Universitaria,No,Media,Soltero/a,6.2,Sí,Nunca,Bicicleta/Pie
,Antofagasta,74.7,766000.0,Masculino,Básica,Sí,Alta,Separado/a,4.8,No,Nunca,Público
38.0,Puerto Montt,73.0,930000.0,Femenino,Básica,No,Baja,Viudo/a,6.6,No,Frecuente,
41.5,Valdivia,67.7,1218000.0,Masculino,Técnica,,Baja,Separado/a,6.5,,Ocasional,Privado
48.9,Valdivia,60.9,653000.0,Femenino,Técnica,Sí,Baja,Separado/a,7.9,Sí,Frecuente,
27.7,La Serena,82.6,404000.0,Masculino,Universitaria,Sí,Alta,Separado/a,4.7,No,Ocasional,Bicicleta/Pie
71.4,Santiago,89.9,1004000.0,Masculino,Básica,No,Media,Separado/a,7.9,Sí,Nunca,Bicicleta/Pie
24.9,Santiago,64.2,455000.0,Masculino,Media,No,Baja,Casado/a,5.8,No,Nunca,Privado
21.8,Puerto Montt,62.7,691000.0,Femenino,Básica,Sí,Media,Casado/a,5.1,No,Frecuente,Público
57.4,Valparaíso,75.9,736000.0,Femenino,Media,No,Alta,Soltero/a,,No,Ocasional,Público
51.9,Puerto Montt,65.7,783000.0,Femenino,Universitaria,No,Media,Separado/a,8.1,Sí,Frecuente,Privado
,Temuco,68.3,972000.0,Femenino,Universitaria,No,Baja,Separado/a,6.3,Sí,Ocasional,
49.4,Santiago,78.9,629000.0,Masculino,Media,Sí,Media,Soltero/a,7.8,Sí,Frecuente,Bicicleta/Pie
39.8,Antofagasta,,732000.0,Femenino,Media,No,Media,Viudo/a,7.4,,Nunca,Bicicleta/Pie
26.5,Temuco,85.8,796000.0,Femenino,Básica,Sí,Alta,Casado/a,11.7,Sí,Frecuente,Privado
41.1,Valdivia,70.9,837000.0,Femenino,Universitaria,Sí,Alta,Separado/a,6.5,No,Ocasional,Privado
29.8,Valdivia,65.1,824000.0,Femenino,Básica,,Alta,Viudo/a,6.8,No,Frecuente,Privado
54.6,Concepción,68.9,909000.0,Femenino,Media,No,Alta,Viudo/a,8.7,Sí,Ocasional,Privado
,La Serena,69.5,1011000.0,Femenino,Técnica,Sí,,Separado/a,6.9,No,Frecuente,Público
,Temuco,49.2,898000.0,Femenino,Técnica,No,Media,Separado/a,7.4,No,Ocasional,Público
35.2,La Serena,87.9,,Femenino,,Sí,Alta,Viudo/a,4.4,No,,Público
46.2,Puerto Montt,70.5,404000.0,Masculino,Media,No,Alta,Casado/a,6.8,,Ocasional,
31.5,Temuco,75.3,813000.0,Masculino,Básica,No,Baja,Casado/a,5.9,Sí,Frecuente,Bicicleta/Pie
27.7,Puerto Montt,81.4,920000.0,Femenino,Universitaria,,Baja,Separado/a,,No,Frecuente,Privado
,Concepción,57.7,982000.0,,Media,Sí,Alta,Separado/a,7.4,No,Nunca,Privado
43.7,Santiago,75.7,,Femenino,Técnica,No,Media,Soltero/a,6.9,No,Ocasional,Público
32.4,Valdivia,66.8,635000.0,Femenino,Básica,,Alta,Soltero/a,8.2,No,Nunca,Público
32.9,Concepción,80.2,656000.0,Masculino,Universitaria,Sí,Media,Casado/a,8.4,,Nunca,Público
43.5,Valdivia,44.5,934000.0,Masculino,Universitaria,Sí,,Soltero/a,6.7,No,Ocasional,Privado
18.3,Santiago,68.8,1058000.0,Femenino,Media,No,,Viudo/a,7.4,Sí,Nunca,
18.9,Puerto Montt,62.8,698000.0,Masculino,Media,Sí,Alta,Viudo/a,3.9,No,,Privado
29.2,Santiago,75.2,1027000.0,Masculino,Universitaria,Sí,Alta,Viudo/a,7.5,No,Nunca,Privado
36.8,Valdivia,,831000.0,Femenino,Universitaria,Sí,Media,Viudo/a,8.6,No,Frecuente,Bicicleta/Pie
44.7,Valdivia,61.5,769000.0,Femenino,Técnica,No,Alta,Separado/a,5.6,Sí,Ocasional,Bicicleta/Pie
62.1,La Serena,61.5,747000.0,Femenino,Universitaria,Sí,Baja,Viudo/a,8.1,No,Ocasional,Privado
52.9,Antofagasta,68.7,987000.0,Masculino,Media,No,Baja,Casado/a,6.3,Sí,Ocasional,Público
37.6,Concepción,59.2,881000.0,Masculino,Básica,Sí,Alta,Soltero/a,6.1,No,Nunca,Privado
39.7,Temuco,80.1,1369000.0,Femenino,Técnica,Sí,Alta,Casado/a,9.1,No,Ocasional,Privado
25.0,Valdivia,65.6,587000.0,Femenino,Técnica,No,Baja,Separado/a,7.0,No,Ocasional,Privado
39.7,Concepción,,930000.0,Masculino,Universitaria,Sí,Alta,Soltero/a,8.3,No,Frecuente,Privado
35.7,La Serena,65.5,668000.0,Masculino,Básica,Sí,Media,Soltero/a,4.1,,Nunca,
44.8,Santiago,57.5,583000.0,Femenino,Técnica,Sí,Alta,,6.1,No,Nunca,Bicicleta/Pie
27.6,La Serena,50.4,797000.0,Masculino,Media,Sí,Media,Viudo/a,8.1,No,Ocasional,Privado
47.8,Valparaíso,55.2,834000.0,Femenino,Universitaria,No,Alta,Separado/a,7.2,No,Nunca,Bicicleta/Pie
63.0,Valparaíso,71.3,1530000.0,Femenino,Media,No,Alta,Casado/a,6.7,No,Ocasional,Bicicleta/Pie
38.4,Temuco,85.9,754000.0,Masculino,Universitaria,No,Baja,Viudo/a,7.9,,Frecuente,Público
46.0,La Serena,73.8,517000.0,Masculino,Técnica,No,Media,Soltero/a,5.8,No,Nunca,Bicicleta/Pie
50.4,Puerto Montt,62.7,868000.0,Masculino,Universitaria,No,Baja,Casado/a,8.8,,Nunca,Bicicleta/Pie
34.0,Temuco,75.5,281000.0,Femenino,Básica,No,Alta,Casado/a,6.7,No,Frecuente,Privado
43.4,Puerto Montt,64.5,777000.0,Femenino,Media,No,Baja,Casado/a,5.8,Sí,Nunca,Bicicleta/Pie
40.2,Temuco,61.7,804000.0,Femenino,Básica,Sí,Alta,Separado/a,5.9,Sí,Ocasional,Bicicleta/Pie
41.5,Valparaíso,56.1,999000.0,Femenino,Media,No,Alta,Viudo/a,6.9,No,Nunca,Bicicleta/Pie
28.4,Temuco,49.0,1043000.0,Femenino,Media,No,Alta,Separado/a,6.4,No,,Privado
40.4,Valparaíso,65.3,674000.0,Femenino,Universitaria,No,Media,Soltero/a,7.8,No,Frecuente,Privado
47.5,Valdivia,,762000.0,Masculino,Técnica,Sí,Media,Soltero/a,6.9,No,,Bicicleta/Pie
61.8,Santiago,68.8,,Femenino,Técnica,No,Media,Casado/a,6.5,Sí,Ocasional,Privado
54.4,Puerto Montt,65.0,518000.0,,Básica,No,Baja,Casado/a,7.5,Sí,Nunca,Privado
72.3,La Serena,58.7,877000.0,Femenino,Universitaria,No,Alta,Casado/a,,Sí,Nunca,Público
28.5,Valdivia,77.3,482000.0,Femenino,Técnica,Sí,,Separado/a,7.7,No,Frecuente,Bicicleta/Pie
53.1,Valdivia,54.2,696000.0,Masculino,Media,No,Baja,Viudo/a,7.5,Sí,Ocasional,Público
42.8,Temuco,79.3,551000.0,Femenino,Media,Sí,Alta,Separado/a,7.4,No,Nunca,Bicicleta/Pie
72.8,Valparaíso,58.0,937000.0,,Universitaria,Sí,Baja,Soltero/a,,No,Ocasional,
27.9,Concepción,61.0,1250000.0,Masculino,Básica,Sí,Alta,Casado/a,6.1,No,Nunca,Público
27.4,Puerto Montt,52.4,475000.0,Femenino,Universitaria,Sí,Alta,Casado/a,8.2,Sí,Frecuente,Público
31.0,Valdivia,64.0,337000.0,,Básica,No,Alta,Separado/a,7.9,No,Frecuente,Bicicleta/Pie
8.1,Temuco,81.7,769000.0,,Universitaria,Sí,Alta,Soltero/a,,No,Frecuente,Público
32.1,Antofagasta,76.2,804000.0,Masculino,,Sí,Baja,Viudo/a,6.4,No,Frecuente,Público
28.6,Santiago,81.7,,Femenino,Universitaria,No,Baja,,9.0,No,Frecuente,Privado
42.3,Santiago,76.3,688000.0,Masculino,Técnica,,Baja,Casado/a,8.5,No,Frecuente,Bicicleta/Pie
45.1,Concepción,56.8,750000.0,Femenino,Técnica,Sí,Media,Soltero/a,5.2,No,Ocasional,Privado
68.1,Valparaíso,,892000.0,Femenino,Universitaria,Sí,Baja,,7.0,Sí,Frecuente,Bicicleta/Pie
54.3,Temuco,60.6,1060000.0,Masculino,Básica,Sí,Baja,Viudo/a,,No,Ocasional,
,Puerto Montt,86.0,311000.0,Femenino,Básica,Sí,Media,Separado/a,8.5,No,Frecuente,Bicicleta/Pie
26.5,Valparaíso,55.6,708000.0,Femenino,Media,Sí,Alta,Soltero/a,7.2,No,Nunca,Privado
47.4,Santiago,80.7,853000.0,Femenino,Media,No,Alta,,7.7,Sí,Nunca,
20.2,Valparaíso,80.7,571000.0,Masculino,Básica,No,Alta,Casado/a,,No,Nunca,Privado
67.5,Santiago,92.0,1233000.0,Masculino,Universitaria,No,Media,Viudo/a,8.6,Sí,Ocasional,Público
57.7,Valparaíso,65.1,641000.0,Masculino,Media,No,Baja,Separado/a,6.7,No,Frecuente,Bicicleta/Pie
33.0,Concepción,78.5,790000.0,Femenino,Básica,Sí,Baja,,7.1,,Ocasional,Público
14.3,La Serena,,939000.0,Masculino,Básica,Sí,Baja,Separado/a,5.9,No,Frecuente,Privado
60.3,Concepción,62.6,652000.0,Masculino,,Sí,Baja,Viudo/a,6.6,No,Nunca,Bicicleta/Pie
38.3,Concepción,51.6,338000.0,Masculino,Técnica,No,Media,,6.4,No,Ocasional,
58.6,La Serena,47.4,693000.0,Femenino,,No,Baja,Casado/a,6.7,No,Frecuente,
16.1,La Serena,78.6,1057000.0,Femenino,,Sí,Alta,,6.9,Sí,Ocasional,Público
31.0,Valdivia,47.4,716000.0,Masculino,Universitaria,,Media,Casado/a,8.2,Sí,Ocasional,Bicicleta/Pie
40.1,Valdivia,65.5,588000.0,Masculino,Universitaria,No,Media,Soltero/a,7.5,No,Nunca,Privado
40.7,Temuco,75.2,1031000.0,Masculino,Universitaria,No,Alta,Separado/a,5.1,No,Nunca,Público
33.2,Puerto Montt,72.2,717000.0,Femenino,Técnica,No,Alta,Soltero/a,7.8,No,Nunca,Público
49.3,Puerto Montt,75.1,672000.0,Masculino,Técnica,No,Baja,Separado/a,6.2,No,Nunca,Público
24.0,Temuco,72.7,837000.0,Femenino,Media,Sí,Alta,Casado/a,,No,Nunca,Público
37.9,Concepción,85.3,993000.0,Femenino,Media,No,Media,Soltero/a,5.3,No,Frecuente,Privado
41.8,Concepción,58.6,1395000.0,Femenino,Universitaria,No,Media,Soltero/a,7.3,No,Frecuente,Privado
47.7,Santiago,61.9,1007000.0,Masculino,,Sí,Media,Viudo/a,8.6,No,Nunca,Privado
50.7,Santiago,60.7,1090000.0,Masculino,Básica,Sí,,Separado/a,6.7,No,Nunca,Bicicleta/Pie
23.1,Puerto Montt,80.0,,Femenino,Técnica,Sí,Baja,Viudo/a,,No,Nunca,Bicicleta/Pie
17.0,Temuco,80.8,544000.0,Femenino,Universitaria,No,Alta,Soltero/a,7.1,No,Ocasional,Público
59.2,Antofagasta,75.4,816000.0,Femenino,Universitaria,,Baja,,3.8,No,Nunca,Privado
45.0,Valdivia,84.2,827000.0,Femenino,Básica,No,Baja,Casado/a,7.9,No,Frecuente,Público
28.8,Antofagasta,55.9,530000.0,Masculino,Básica,No,Media,Viudo/a,,No,Frecuente,Privado
63.3,Temuco,90.0,756000.0,Masculino,Básica,Sí,Media,,5.8,,Ocasional,Bicicleta/Pie
41.7,Santiago,88.3,900000.0,,Básica,Sí,,Viudo/a,7.9,No,Frecuente,Público
57.7,Puerto Montt,78.8,890000.0,Femenino,Universitaria,No,Media,Separado/a,7.2,Sí,Nunca,Privado
41.0,Puerto Montt,91.4,926000.0,Femenino,Técnica,No,Baja,Soltero/a,6.9,Sí,Ocasional,Privado
70.9,Santiago,50.1,873000.0,Masculino,Técnica,No,Alta,Viudo/a,7.1,No,Ocasional,Privado
66.3,Antofagasta,63.7,673000.0,Femenino,Básica,Sí,Alta,Casado/a,,No,Frecuente,Público
36.3,Valparaíso,61.2,672000.0,Masculino,Media,No,Media,Soltero/a,9.7,No,Nunca,Bicicleta/Pie
54.6,Valparaíso,78.7,500000.0,Femenino,Universitaria,Sí,Media,Casado/a,7.3,Sí,,Privado
,Santiago,57.4,1246000.0,Masculino,Técnica,No,Media,Soltero/a,7.2,No,Nunca,
60.5,Valparaíso,79.1,803000.0,,Básica,Sí,Alta,Casado/a,6.9,Sí,Ocasional,Privado
25.5,La Serena,86.4,744000.0,,Media,Sí,Media,Viudo/a,4.6,No,Frecuente,Público
50.3,Temuco,78.3,568000.0,Masculino,Media,,,Viudo/a,6.0,No,Frecuente,Bicicleta/Pie
55.9,Temuco,73.4,1534000.0,Masculino,Básica,Sí,Alta,Casado/a,5.2,No,Frecuente,
13.6,Santiago,58.1,532000.0,Masculino,Universitaria,Sí,Media,Separado/a,5.0,No,Nunca,
22.3,Concepción,59.8,693000.0,Masculino,Técnica,No,Baja,Casado/a,4.7,Sí,Ocasional,Privado
9.4,Valdivia,,904000.0,Femenino,Media,Sí,Baja,Soltero/a,6.0,Sí,Ocasional,Público
36.0,Antofagasta,79.4,950000.0,Femenino,,No,Media,Casado/a,7.0,Sí,Frecuente,Bicicleta/Pie
50.8,Santiago,69.5,1039000.0,,Técnica,Sí,,Casado/a,4.9,Sí,Frecuente,Bicicleta/Pie
62.5,Valparaíso,65.0,1252000.0,Femenino,Media,Sí,Alta,Soltero/a,8.0,Sí,Ocasional,
41.1,Antofagasta,45.7,927000.0,Femenino,Básica,Sí,Alta,Viudo/a,7.4,No,Frecuente,Bicicleta/Pie
64.4,Concepción,57.1,536000.0,Masculino,Media,,Baja,Soltero/a,6.7,No,Ocasional,Privado
19.3,Valparaíso,92.9,736000.0,Masculino,Media,No,Alta,Casado/a,10.2,No,Ocasional,Bicicleta/Pie
,Puerto Montt,54.6,877000.0,Masculino,Universitaria,No,Media,Soltero/a,6.6,Sí,Frecuente,Privado
,Valdivia,72.3,1317000.0,Masculino,Técnica,No,Baja,,8.2,No,Ocasional,Bicicleta/Pie
45.8,La Serena,82.1,451000.0,,Básica,Sí,Alta,Viudo/a,7.3,,Ocasional,Bicicleta/Pie
39.5,Valparaíso,54.9,1101000.0,Femenino,Técnica,Sí,Media,Casado/a,9.2,Sí,Frecuente,Privado
9.0,La Serena,72.2,845000.0,Masculino,Media,No,Media,Casado/a,8.6,No,Frecuente,Bicicleta/Pie
38.7,Antofagasta,81.3,1009000.0,Femenino,Básica,No,Alta,Viudo/a,6.5,No,Frecuente,Privado
20.4,La Serena,70.1,775000.0,Masculino,Básica,,Baja,,,No,Ocasional,Privado
50.0,Antofagasta,104.4,589000.0,Masculino,Básica,,Media,,5.0,No,Frecuente,Bicicleta/Pie
45.5,Antofagasta,50.0,988000.0,Femenino,Básica,Sí,Media,,7.2,No,Frecuente,Bicicleta/Pie
25.9,Antofagasta,82.7,,Femenino,Universitaria,No,Media,Casado/a,8.0,No,Ocasional,Privado
32.3,Antofagasta,67.9,1043000.0,Femenino,Básica,Sí,Media,Casado/a,6.9,No,Ocasional,
24.1,Antofagasta,79.3,,Femenino,Media,No,Baja,Viudo/a,9.1,Sí,Frecuente,Bicicleta/Pie
39.1,Valparaíso,,650000.0,Femenino,Universitaria,Sí,Alta,Soltero/a,7.2,No,Frecuente,Bicicleta/Pie
,Antofagasta,61.2,410000.0,Femenino,Media,No,Alta,Separado/a,8.9,No,Ocasional,Público
25.2,Valparaíso,72.7,1005000.0,Femenino,Media,No,Alta,Separado/a,6.8,No,Ocasional,Público
47.6,Antofagasta,47.7,906000.0,Masculino,Técnica,Sí,Media,Viudo/a,5.3,No,Nunca,Bicicleta/Pie
32.0,La Serena,77.2,559000.0,Femenino,Básica,Sí,Baja,Viudo/a,6.1,No,Ocasional,Bicicleta/Pie
28.1,Puerto Montt,73.6,665000.0,Masculino,Básica,No,Alta,Separado/a,7.0,Sí,,Bicicleta/Pie
38.4,Antofagasta,77.7,683000.0,Masculino,Media,Sí,Baja,Soltero/a,5.9,No,,Público
24.5,Concepción,82.7,429000.0,Femenino,Básica,No,Alta,,4.5,No,Frecuente,Bicicleta/Pie
31.7,Antofagasta,74.4,596000.0,Masculino,Universitaria,Sí,Media,Soltero/a,,No,Nunca,Público
22.0,Antofagasta,71.8,517000.0,Femenino,,No,,Casado/a,,No,Ocasional,Público
69.5,La Serena,59.4,697000.0,Masculino,Básica,No,Media,,7.6,Sí,Nunca,Privado
40.5,Valdivia,,615000.0,Masculino,Básica,No,Media,Casado/a,7.4,Sí,Nunca,Público
29.5,Temuco,84.2,393000.0,Masculino,Universitaria,No,Alta,Casado/a,7.3,No,Nunca,Privado
43.2,La Serena,87.2,1306000.0,Femenino,Técnica,No,Baja,Viudo/a,6.2,No,Nunca,Público
38.3,Concepción,67.1,1113000.0,Masculino,Universitaria,No,Media,Casado/a,8.2,Sí,Nunca,Público
36.7,Temuco,70.6,605000.0,Masculino,Media,No,Baja,Casado/a,4.4,,Nunca,Privado
49.2,Santiago,59.1,868000.0,Masculino,Media,No,Alta,Viudo/a,3.9,Sí,,Privado
51.4,Santiago,84.1,904000.0,,Básica,Sí,Media,Soltero/a,6.7,Sí,,Privado
32.0,Valdivia,78.0,1098000.0,Masculino,Técnica,Sí,Baja,Soltero/a,7.2,No,Nunca,Privado
,Concepción,93.3,595000.0,,Media,Sí,Media,Separado/a,5.7,No,Nunca,Privado
35.9,La Serena,59.5,1073000.0,Masculino,Universitaria,No,Alta,Separado/a,4.6,No,Nunca,Privado
5.5,Valparaíso,65.5,,Masculino,Media,No,Media,Casado/a,,Sí,Ocasional,Privado
17.3,Concepción,72.8,466000.0,Masculino,Media,No,Alta,Separado/a,6.4,,Nunca,Público
60.5,Puerto Montt,77.8,981000.0,Femenino,Universitaria,Sí,Baja,Viudo/a,,No,Nunca,Público
64.7,Temuco,67.4,1123000.0,Masculino,Básica,Sí,Media,Separado/a,9.0,,Nunca,Privado
36.3,Temuco,59.5,1447000.0,Masculino,Técnica,Sí,Baja,Separado/a,4.6,No,,Bicicleta/Pie
48.6,Antofagasta,80.6,500000.0,Masculino,Básica,Sí,Alta,Casado/a,7.3,Sí,Nunca,
44.7,Santiago,78.7,975000.0,,Universitaria,Sí,Alta,Viudo/a,,No,Ocasional,Bicicleta/Pie
86.2,Valdivia,59.0,698000.0,Femenino,Media,No,Baja,Separado/a,8.1,Sí,Frecuente,Público
56.8,Temuco,86.3,996000.0,Masculino,Técnica,Sí,Baja,Soltero/a,6.2,No,Ocasional,Público
38.1,Concepción,84.0,432000.0,Masculino,Básica,No,Alta,Viudo/a,7.1,Sí,Frecuente,Bicicleta/Pie
25.7,Temuco,71.6,484000.0,Masculino,Universitaria,No,Baja,,8.1,No,Frecuente,Público
15.9,Valdivia,71.0,606000.0,Masculino,Media,No,Alta,,,No,Nunca,Privado
43.1,Valdivia,76.6,,Femenino,,Sí,Baja,Viudo/a,9.3,No,Nunca,Bicicleta/Pie
28.7,Valdivia,59.7,640000.0,Masculino,Básica,Sí,,Viudo/a,5.7,No,Frecuente,Bicicleta/Pie
18.7,Concepción,,965000.0,Masculino,Universitaria,No,Alta,Viudo/a,7.3,Sí,Nunca,Público
